timestamp_day,hour,replica,mem_mib,cpu_millicores
1,0,checkout-6d9-a,155.9,7.9
1,0,checkout-6d9-b,145.8,6.3
1,1,checkout-6d9-a,146.5,8.4
1,1,checkout-6d9-b,149.3,9.5
1,2,checkout-6d9-a,169.7,7.2
1,2,checkout-6d9-b,140.1,6.9
1,3,checkout-6d9-a,151.8,5.1
1,3,checkout-6d9-b,159.6,9.3
1,4,checkout-6d9-a,151.4,7.1
1,4,checkout-6d9-b,148.3,5.3
1,5,checkout-6d9-a,142.1,6.5
1,5,checkout-6d9-b,142.0,5.1
1,6,checkout-6d9-a,159.6,8.1
1,6,checkout-6d9-b,158.1,6.8
1,7,checkout-6d9-a,180.6,5.5
1,7,checkout-6d9-b,194.4,7.2
1,8,checkout-6d9-a,193.9,6.2
1,8,checkout-6d9-b,194.4,5.7
1,9,checkout-6d9-a,227.5,11.2
1,9,checkout-6d9-b,247.7,8.6
1,10,checkout-6d9-a,232.7,10.6
1,10,checkout-6d9-b,237.6,7.3
1,11,checkout-6d9-a,259.6,7.7
1,11,checkout-6d9-b,259.1,10.5
1,12,checkout-6d9-a,249.5,10.4
1,12,checkout-6d9-b,237.4,6.0
1,13,checkout-6d9-a,229.5,8.5
1,13,checkout-6d9-b,221.9,8.7
1,14,checkout-6d9-a,260.0,9.5
1,14,checkout-6d9-b,244.2,10.7
1,15,checkout-6d9-a,262.4,8.9
1,15,checkout-6d9-b,272.1,11.9
1,16,checkout-6d9-a,321.2,11.8
1,16,checkout-6d9-b,296.5,9.8
1,17,checkout-6d9-a,353.1,11.8
1,17,checkout-6d9-b,338.9,14.0
1,18,checkout-6d9-a,411.7,15.2
1,18,checkout-6d9-b,406.0,13.5
1,19,checkout-6d9-a,426.7,14.2
1,19,checkout-6d9-b,446.5,14.8
1,20,checkout-6d9-a,446.8,14.7
1,20,checkout-6d9-b,440.4,14.2
1,21,checkout-6d9-a,433.6,11.9
1,21,checkout-6d9-b,438.0,17.0
1,22,checkout-6d9-a,400.3,14.4
1,22,checkout-6d9-b,386.9,15.2
1,23,checkout-6d9-a,346.1,12.1
1,23,checkout-6d9-b,342.3,13.5
2,0,checkout-6d9-a,143.4,6.5
2,0,checkout-6d9-b,158.4,7.0
2,1,checkout-6d9-a,147.3,6.1
2,1,checkout-6d9-b,165.6,6.9
2,2,checkout-6d9-a,129.1,4.4
2,2,checkout-6d9-b,136.8,3.9
2,3,checkout-6d9-a,165.0,5.9
2,3,checkout-6d9-b,150.9,7.5
2,4,checkout-6d9-a,145.3,5.7
2,4,checkout-6d9-b,144.6,2
2,5,checkout-6d9-a,162.8,8.5
2,5,checkout-6d9-b,156.3,5.6
2,6,checkout-6d9-a,166.9,7.8
2,6,checkout-6d9-b,165.7,9.2
2,7,checkout-6d9-a,186.5,8.7
2,7,checkout-6d9-b,169.0,7.4
2,8,checkout-6d9-a,197.8,6.4
2,8,checkout-6d9-b,192.5,6.3
2,9,checkout-6d9-a,227.2,6.6
2,9,checkout-6d9-b,218.0,8.6
2,10,checkout-6d9-a,238.4,9.0
2,10,checkout-6d9-b,234.5,7.2
2,11,checkout-6d9-a,249.9,10.7
2,11,checkout-6d9-b,261.6,7.1
2,12,checkout-6d9-a,259.5,9.6
2,12,checkout-6d9-b,243.1,9.6
2,13,checkout-6d9-a,250.1,11.1
2,13,checkout-6d9-b,249.8,8.3
2,14,checkout-6d9-a,229.7,8.9
2,14,checkout-6d9-b,222.6,7.7
2,15,checkout-6d9-a,280.8,11.3
2,15,checkout-6d9-b,254.6,10.1
2,16,checkout-6d9-a,306.0,9.3
2,16,checkout-6d9-b,303.5,9.2
2,17,checkout-6d9-a,346.3,13.4
2,17,checkout-6d9-b,355.6,13.1
2,18,checkout-6d9-a,384.1,14.3
2,18,checkout-6d9-b,409.1,12.8
2,19,checkout-6d9-a,439.5,14.7
2,19,checkout-6d9-b,436.8,14.5
2,20,checkout-6d9-a,457.0,13.6
2,20,checkout-6d9-b,450.7,14.4
2,21,checkout-6d9-a,426.7,9.4
2,21,checkout-6d9-b,419.4,13.3
2,22,checkout-6d9-a,388.7,14.1
2,22,checkout-6d9-b,397.2,12.3
2,23,checkout-6d9-a,336.7,10.4
